Fiscal Year,Month Grouping,Month (abbv),Land Border Region,State,Demographic,Citizenship,Title of Authority,Encounter Count
2023,FYTD,DEC,Northern Land Border,AK,Single Adults,CANADA,Title 8,1
2023,FYTD,DEC,Northern Land Border,AK,Single Adults,OTHER,Title 8,5
2023,FYTD,DEC,Northern Land Border,AK,Single Adults,UKRAINE,Title 8,2
2023,FYTD,DEC,Northern Land Border,ID,Single Adults,CANADA,Title 8,5
2023,FYTD,DEC,Northern Land Border,ID,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2023,FYTD,DEC,Northern Land Border,ID,Single Adults,INDIA,Title 8,2
2023,FYTD,DEC,Northern Land Border,ID,Single Adults,OTHER,Title 8,1
2023,FYTD,DEC,Northern Land Border,ME,Accompanied Minors,BRAZIL,Title 42,3
2023,FYTD,DEC,Northern Land Border,ME,Accompanied Minors,CANADA,Title 42,1
2023,FYTD,DEC,Northern Land Border,ME,Accompanied Minors,CANADA,Title 8,1
2023,FYTD,DEC,Northern Land Border,ME,Accompanied Minors,INDIA,Title 42,1
2023,FYTD,DEC,Northern Land Border,ME,Accompanied Minors,MEXICO,Title 42,2
2023,FYTD,DEC,Northern Land Border,ME,Accompanied Minors,OTHER,Title 8,2
2023,FYTD,DEC,Northern Land Border,ME,FMUA,BRAZIL,Title 8,21
2023,FYTD,DEC,Northern Land Border,ME,FMUA,CANADA,Title 8,10
2023,FYTD,DEC,Northern Land Border,ME,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,2
2023,FYTD,DEC,Northern Land Border,ME,FMUA,COLOMBIA,Title 8,52
2023,FYTD,DEC,Northern Land Border,ME,FMUA,INDIA,Title 8,51
2023,FYTD,DEC,Northern Land Border,ME,FMUA,MEXICO,Title 8,25
2023,FYTD,DEC,Northern Land Border,ME,FMUA,NICARAGUA,Title 8,5
2023,FYTD,DEC,Northern Land Border,ME,FMUA,OTHER,Title 8,228
