date,cyear,fiscal_year,month,region,quantity,agency,administration,title42_flag,mpp_flag
2003-10-01,2003,2004,10,Air Ports of Entry/Interior,3000,OFO,,,
2003-10-01,2003,2004,10,Coastal Border,70,OFO,,,
2003-10-01,2003,2004,10,Northern Land Border,3920,OFO,,,
2003-10-01,2003,2004,10,Southwest Land Border,3860,OFO,,,
2003-11-01,2003,2004,11,Air Ports of Entry/Interior,2920,OFO,,,
2003-11-01,2003,2004,11,Coastal Border,90,OFO,,,
2003-11-01,2003,2004,11,Northern Land Border,3830,OFO,,,
2003-11-01,2003,2004,11,Southwest Land Border,4510,OFO,,,
2003-12-01,2003,2004,12,Air Ports of Entry/Interior,3180,OFO,,,
2003-12-01,2003,2004,12,Coastal Border,100,OFO,,,
2003-12-01,2003,2004,12,Northern Land Border,4450,OFO,,,
2003-12-01,2003,2004,12,Southwest Land Border,4620,OFO,,,
2004-01-01,2004,2004,1,Air Ports of Entry/Interior,3310,OFO,,,
2004-01-01,2004,2004,1,Coastal Border,120,OFO,,,
2004-01-01,2004,2004,1,Northern Land Border,3780,OFO,,,
2004-01-01,2004,2004,1,Southwest Land Border,6010,OFO,,,
2004-02-01,2004,2004,2,Air Ports of Entry/Interior,3010,OFO,,,
2004-02-01,2004,2004,2,Coastal Border,110,OFO,,,
2004-02-01,2004,2004,2,Northern Land Border,3950,OFO,,,
2004-02-01,2004,2004,2,Southwest Land Border,5570,OFO,,,
2004-03-01,2004,2004,3,Air Ports of Entry/Interior,3460,OFO,,,
2004-03-01,2004,2004,3,Coastal Border,100,OFO,,,
2004-03-01,2004,2004,3,Northern Land Border,4640,OFO,,,
2004-03-01,2004,2004,3,Southwest Land Border,7440,OFO,,,
2004-04-01,2004,2004,4,Air Ports of Entry/Interior,3540,OFO,,,
2004-04-01,2004,2004,4,Coastal Border,100,OFO,,,
2004-04-01,2004,2004,4,Northern Land Border,5080,OFO,,,
2004-04-01,2004,2004,4,Southwest Land Border,6860,OFO,,,
2004-05-01,2004,2004,5,Air Ports of Entry/Interior,3410,OFO,,,
2004-05-01,2004,2004,5,Coastal Border,120,OFO,,,
2004-05-01,2004,2004,5,Northern Land Border,5460,OFO,,,
2004-05-01,2004,2004,5,Southwest Land Border,6690,OFO,,,
2004-06-01,2004,2004,6,Air Ports of Entry/Interior,3170,OFO,,,
2004-06-01,2004,2004,6,Coastal Border,130,OFO,,,
2004-06-01,2004,2004,6,Northern Land Border,5500,OFO,,,
2004-06-01,2004,2004,6,Southwest Land Border,6570,OFO,,,
2004-07-01,2004,2004,7,Air Ports of Entry/Interior,3000,OFO,,,
2004-07-01,2004,2004,7,Coastal Border,190,OFO,,,
2004-07-01,2004,2004,7,Northern Land Border,6560,OFO,,,
2004-07-01,2004,2004,7,Southwest Land Border,6840,OFO,,,
2004-08-01,2004,2004,8,Air Ports of Entry/Interior,3010,OFO,,,
2004-08-01,2004,2004,8,Coastal Border,160,OFO,,,
2004-08-01,2004,2004,8,Northern Land Border,6560,OFO,,,
2004-08-01,2004,2004,8,Southwest Land Border,6690,OFO,,,
2004-09-01,2004,2004,9,Air Ports of Entry/Interior,3030,OFO,,,
2004-09-01,2004,2004,9,Coastal Border,130,OFO,,,
2004-09-01,2004,2004,9,Northern Land Border,5920,OFO,,,
2004-09-01,2004,2004,9,Southwest Land Border,5790,OFO,,,
2004-10-01,2004,2005,10,Air Ports of Entry/Interior,3800,OFO,,,
2004-10-01,2004,2005,10,Coastal Border,150,OFO,,,
2004-10-01,2004,2005,10,Northern Land Border,5720,OFO,,,
2004-10-01,2004,2005,10,Southwest Land Border,5780,OFO,,,
2004-11-01,2004,2005,11,Air Ports of Entry/Interior,6750,OFO,,,
2004-11-01,2004,2005,11,Coastal Border,240,OFO,,,
2004-11-01,2004,2005,11,Northern Land Border,5490,OFO,,,
2004-11-01,2004,2005,11,Southwest Land Border,5510,OFO,,,
2004-12-01,2004,2005,12,Air Ports of Entry/Interior,9160,OFO,,,
2004-12-01,2004,2005,12,Coastal Border,240,OFO,,,
2004-12-01,2004,2005,12,Northern Land Border,5900,OFO,,,
2004-12-01,2004,2005,12,Southwest Land Border,5620,OFO,,,
2005-01-01,2005,2005,1,Air Ports of Entry/Interior,8550,OFO,,,
2005-01-01,2005,2005,1,Coastal Border,250,OFO,,,
2005-01-01,2005,2005,1,Northern Land Border,5210,OFO,,,
2005-01-01,2005,2005,1,Southwest Land Border,8520,OFO,,,
2005-02-01,2005,2005,2,Air Ports of Entry/Interior,7520,OFO,,,
2005-02-01,2005,2005,2,Coastal Border,220,OFO,,,
2005-02-01,2005,2005,2,Northern Land Border,4840,OFO,,,
2005-02-01,2005,2005,2,Southwest Land Border,7400,OFO,,,
2005-03-01,2005,2005,3,Air Ports of Entry/Interior,8430,OFO,,,
2005-03-01,2005,2005,3,Coastal Border,230,OFO,,,
2005-03-01,2005,2005,3,Northern Land Border,5810,OFO,,,
2005-03-01,2005,2005,3,Southwest Land Border,7850,OFO,,,
2005-04-01,2005,2005,4,Air Ports of Entry/Interior,7950,OFO,,,
2005-04-01,2005,2005,4,Coastal Border,280,OFO,,,
2005-04-01,2005,2005,4,Northern Land Border,5660,OFO,,,
2005-04-01,2005,2005,4,Southwest Land Border,8610,OFO,,,
2005-05-01,2005,2005,5,Air Ports of Entry/Interior,7250,OFO,,,
2005-05-01,2005,2005,5,Coastal Border,190,OFO,,,
2005-05-01,2005,2005,5,Northern Land Border,6190,OFO,,,
2005-05-01,2005,2005,5,Southwest Land Border,9410,OFO,,,
2005-06-01,2005,2005,6,Air Ports of Entry/Interior,6570,OFO,,,
2005-06-01,2005,2005,6,Coastal Border,190,OFO,,,
2005-06-01,2005,2005,6,Northern Land Border,6270,OFO,,,
2005-06-01,2005,2005,6,Southwest Land Border,8690,OFO,,,
2005-07-01,2005,2005,7,Air Ports of Entry/Interior,4180,OFO,,,
2005-07-01,2005,2005,7,Coastal Border,220,OFO,,,
2005-07-01,2005,2005,7,Northern Land Border,7890,OFO,,,
2005-07-01,2005,2005,7,Southwest Land Border,10130,OFO,,,
2005-08-01,2005,2005,8,Air Ports of Entry/Interior,4240,OFO,,,
2005-08-01,2005,2005,8,Coastal Border,220,OFO,,,
2005-08-01,2005,2005,8,Northern Land Border,7470,OFO,,,
2005-08-01,2005,2005,8,Southwest Land Border,10880,OFO,,,
2005-09-01,2005,2005,9,Air Ports of Entry/Interior,4030,OFO,,,
2005-09-01,2005,2005,9,Coastal Border,220,OFO,,,
2005-09-01,2005,2005,9,Northern Land Border,5850,OFO,,,
2005-09-01,2005,2005,9,Southwest Land Border,9460,OFO,,,
2005-10-01,2005,2006,10,Air Ports of Entry/Interior,3810,OFO,,,
2005-10-01,2005,2006,10,Coastal Border,240,OFO,,,
2005-10-01,2005,2006,10,Northern Land Border,5000,OFO,,,
2005-10-01,2005,2006,10,Southwest Land Border,8370,OFO,,,
2005-11-01,2005,2006,11,Air Ports of Entry/Interior,3720,OFO,,,
2005-11-01,2005,2006,11,Coastal Border,300,OFO,,,
2005-11-01,2005,2006,11,Northern Land Border,4320,OFO,,,
2005-11-01,2005,2006,11,Southwest Land Border,7860,OFO,,,
2005-12-01,2005,2006,12,Air Ports of Entry/Interior,4120,OFO,,,
2005-12-01,2005,2006,12,Coastal Border,300,OFO,,,
2005-12-01,2005,2006,12,Northern Land Border,4780,OFO,,,
2005-12-01,2005,2006,12,Southwest Land Border,7710,OFO,,,
2006-01-01,2006,2006,1,Air Ports of Entry/Interior,4600,OFO,,,
2006-01-01,2006,2006,1,Coastal Border,340,OFO,,,
2006-01-01,2006,2006,1,Northern Land Border,4430,OFO,,,
2006-01-01,2006,2006,1,Southwest Land Border,9730,OFO,,,
2006-02-01,2006,2006,2,Air Ports of Entry/Interior,3720,OFO,,,
2006-02-01,2006,2006,2,Coastal Border,330,OFO,,,
2006-02-01,2006,2006,2,Northern Land Border,3930,OFO,,,
